qu;sacc;qsta;qend;leng;gapop;pid;nid;bitscore;score;taxid;species;genus;family;phylum;kingdom;superkingdom
OTU_23_ACM_008_Klin0341_CR;KF010753;1;305;305;0;100.00;305;564;305;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_24_ACM_008_Klin0341_CR;CP003504;1;331;331;0;100.00;331;612;331;768486;Enterococcus hirae;Enterococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_24_ACM_008_Klin0341_CR;CP003504;1;331;331;0;100.00;331;612;331;768486;Enterococcus hirae;Enterococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_24_ACM_008_Klin0341_CR;CP003504;1;331;332;1;99.70;331;606;328;768486;Enterococcus hirae;Enterococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_24_ACM_008_Klin0341_CR;CP003504;1;331;331;0;99.70;330;606;328;768486;Enterococcus hirae;Enterococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_24_ACM_008_Klin0341_CR;CP003504;1;331;331;0;99.70;330;606;328;768486;Enterococcus hirae;Enterococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_24_ACM_008_Klin0341_CR;CP003504;1;331;331;0;99.70;330;606;328;768486;Enterococcus hirae;Enterococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_25_ACM_008_Klin0341_CR;JX912527;1;311;311;0;100.00;311;575;311;28080;Campylobacter upsaliensis;Campylobacter;Campylobacteraceae;Proteobacteria;undef;Bacteria
OTU_26_ACM_008_Klin0341_CR;HQ796588;1;327;327;0;98.47;322;577;312;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_27_ACM_008_Klin0341_CR;NR_024683;1;312;312;1;99.04;309;558;302;83339;Eubacterium multiforme;Eubacterium;Eubacteriaceae;Firmicutes;undef;Bacteria
OTU_28_ACM_008_Klin0341_CR;KF156794;1;319;319;0;100.00;319;590;319;1335;Streptococcus equinus;Streptococcus;Streptococcaceae;Firmicutes;undef;Bacteria
OTU_29_ACM_008_Klin0341_CR;HM050401;1;319;319;0;99.37;317;579;313;765421;Streptococcus sp. SDX-1;Streptococcus;Streptococcaceae;Firmicutes;undef;Bacteria
OTU_30_ACM_008_Klin0341_CR;AP012027;1;318;318;0;100.00;318;588;318;650150;Erysipelothrix rhusiopathiae;Erysipelothrix;Erysipelotrichaceae;Firmicutes;undef;Bacteria
OTU_30_ACM_008_Klin0341_CR;AP012027;1;318;318;0;100.00;318;588;318;650150;Erysipelothrix rhusiopathiae;Erysipelothrix;Erysipelotrichaceae;Firmicutes;undef;Bacteria
OTU_30_ACM_008_Klin0341_CR;AP012027;1;318;318;0;100.00;318;588;318;650150;Erysipelothrix rhusiopathiae;Erysipelothrix;Erysipelotrichaceae;Firmicutes;undef;Bacteria
OTU_30_ACM_008_Klin0341_CR;AP012027;1;318;318;0;100.00;318;588;318;650150;Erysipelothrix rhusiopathiae;Erysipelothrix;Erysipelotrichaceae;Firmicutes;undef;Bacteria
OTU_30_ACM_008_Klin0341_CR;AP012027;1;318;318;0;100.00;318;588;318;650150;Erysipelothrix rhusiopathiae;Erysipelothrix;Erysipelotrichaceae;Firmicutes;undef;Bacteria
OTU_30_ACM_008_Klin0341_CR;AP012027;1;318;318;0;100.00;318;588;318;650150;Erysipelothrix rhusiopathiae;Erysipelothrix;Erysipelotrichaceae;Firmicutes;undef;Bacteria
OTU_30_ACM_008_Klin0341_CR;AP012027;1;318;318;0;100.00;318;588;318;650150;Erysipelothrix rhusiopathiae;Erysipelothrix;Erysipelotrichaceae;Firmicutes;undef;Bacteria
OTU_31_ACM_008_Klin0341_CR;FJ978500;27;307;281;1;99.64;280;512;277;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_32_ACM_008_Klin0341_CR;CP006603;1;346;346;0;100.00;346;640;346;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_32_ACM_008_Klin0341_CR;CP006603;1;346;346;0;99.71;345;634;343;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_32_ACM_008_Klin0341_CR;CP006603;1;346;346;0;99.71;345;634;343;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_32_ACM_008_Klin0341_CR;CP006603;1;346;346;0;99.71;345;634;343;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_32_ACM_008_Klin0341_CR;CP006603;1;346;346;0;99.71;345;634;343;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_32_ACM_008_Klin0341_CR;CP006603;1;346;346;0;99.42;344;628;340;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_33_ACM_008_Klin0341_CR;DQ113757;1;306;306;0;100.00;306;566;306;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_34_ACM_008_Klin0341_CR;GQ491217;1;300;300;0;100.00;300;555;300;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_35_ACM_008_Klin0341_CR;DQ226069;1;309;309;2;99.03;306;551;298;351158;Iodobacter sp. Ba725/02;Iodobacter;Neisseriaceae;Proteobacteria;undef;Bacteria
OTU_36_ACM_008_Klin0341_CR;JN596121;1;311;311;0;100.00;311;575;311;47917;Serratia fonticola;Serratia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_37_ACM_008_Klin0341_CR;EU458333;1;317;317;0;99.37;315;575;311;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_38_ACM_008_Klin0341_CR;HG738867;1;313;313;0;100.00;313;579;313;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_38_ACM_008_Klin0341_CR;HG738867;1;313;313;0;100.00;313;579;313;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_38_ACM_008_Klin0341_CR;HG738867;1;313;313;0;100.00;313;579;313;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_38_ACM_008_Klin0341_CR;HG738867;1;313;313;0;99.68;312;573;310;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_38_ACM_008_Klin0341_CR;HG738867;1;313;313;0;98.08;307;545;295;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_38_ACM_008_Klin0341_CR;HG738867;1;313;313;0;97.44;305;534;289;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_38_ACM_008_Klin0341_CR;HG738867;1;313;313;0;97.12;304;529;286;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_39_ACM_008_Klin0341_CR;JQ617816;1;315;315;0;99.68;314;577;312;152509;uncultured Bacteroidetes bacterium;undef;undef;Bacteroidetes;undef;Bacteria
OTU_40_ACM_008_Klin0341_CR;JX406232;1;305;305;0;100.00;305;564;305;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_41_ACM_008_Klin0341_CR;HQ808816;1;300;300;0;100.00;300;555;300;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_42_ACM_008_Klin0341_CR;HE999757;1;325;325;0;100.00;325;601;325;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_42_ACM_008_Klin0341_CR;HE999757;1;325;325;0;100.00;325;601;325;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_42_ACM_008_Klin0341_CR;HE999757;1;325;325;0;100.00;325;601;325;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_42_ACM_008_Klin0341_CR;HE999757;1;325;325;0;100.00;325;601;325;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_42_ACM_008_Klin0341_CR;HE999757;1;325;325;0;100.00;325;601;325;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_42_ACM_008_Klin0341_CR;HE999757;1;325;325;0;99.69;324;595;322;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_43_ACM_008_Klin0341_CR;FJ978553;24;307;284;0;100.00;284;525;284;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_44_ACM_008_Klin0341_CR;KC245441;1;309;309;2;94.17;291;470;254;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_45_ACM_008_Klin0341_CR;JN559674;1;311;311;0;100.00;311;575;311;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_46_ACM_008_Klin0341_CR;EU776002;1;326;326;0;100.00;326;603;326;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_47_ACM_008_Klin0341_CR;NR_024994;1;346;346;0;100.00;346;640;346;97478;Lactobacillus mucosae;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_48_ACM_008_Klin0341_CR;GQ179707;1;313;313;0;100.00;313;579;313;300849;uncultured Morganella sp.;Morganella;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_49_ACM_008_Klin0341_CR;HQ747185;1;327;327;0;99.39;325;593;321;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_50_ACM_008_Klin0341_CR;AM697547;1;335;335;0;100.00;335;619;335;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_51_ACM_008_Klin0341_CR;HQ790676;1;327;327;0;99.69;326;599;324;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_52_ACM_008_Klin0341_CR;EU773957;1;307;307;0;100.00;307;568;307;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_53_ACM_008_Klin0341_CR;AB542765;1;318;318;0;95.28;303;505;273;392838;Bacteroides propionicifaciens;Bacteroides;Bacteroidaceae;Bacteroidetes;undef;Bacteria
OTU_54_ACM_008_Klin0341_CR;AB705304;1;325;325;0;100.00;325;601;325;1167086;Carnobacterium sp. NFU35-25;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_55_ACM_008_Klin0341_CR;EU776103;1;307;307;0;99.67;306;562;304;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_56_ACM_008_Klin0341_CR;DQ860043;1;329;329;0;98.78;325;586;317;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_57_ACM_008_Klin0341_CR;HQ716714;1;321;322;2;94.41;304;494;267;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_58_ACM_008_Klin0341_CR;KC245462;1;317;317;0;100.00;317;586;317;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_59_ACM_008_Klin0341_CR;HQ804263;2;327;327;2;97.55;319;558;302;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_60_ACM_008_Klin0341_CR;AB682282;1;313;313;0;100.00;313;579;313;29485;Yersinia rohdei;Yersinia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_61_ACM_008_Klin0341_CR;AB680248;1;320;320;0;100.00;320;592;320;1113779;1113780;1113782;1113783;1113784;1113785;1121126;;;;;;
OTU_62_ACM_008_Klin0341_CR;FJ405280;1;321;321;0;100.00;321;593;321;570194;Lactococcus sp. F9;Lactococcus;Streptococcaceae;Firmicutes;undef;Bacteria
OTU_63_ACM_008_Klin0341_CR;KC245441;1;307;307;0;96.42;296;507;274;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_64_ACM_008_Klin0341_CR;KC541101;1;305;305;0;100.00;305;564;305;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_65_ACM_008_Klin0341_CR;NR_041746;1;310;310;0;100.00;310;573;310;37659;Clostridium algidicarnis;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_66_ACM_008_Klin0341_CR;KC245492;1;327;327;0;98.78;323;582;315;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_67_ACM_008_Klin0341_CR;JX515500;1;250;250;0;100.00;250;462;250;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_67_ACM_008_Klin0341_CR;JX515500;259;508;250;0;100.00;250;462;250;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_68_ACM_008_Klin0341_CR;AY584478;1;319;319;0;98.43;314;562;304;1334;Streptococcus dysgalactiae;Streptococcus;Streptococcaceae;Firmicutes;undef;Bacteria
OTU_69_ACM_008_Klin0341_CR;JF198595;1;303;303;0;100.00;303;560;303;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_70_ACM_008_Klin0341_CR;CP003217;1;307;307;0;100.00;307;568;307;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_70_ACM_008_Klin0341_CR;CP003217;1;307;307;0;100.00;307;568;307;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_70_ACM_008_Klin0341_CR;CP003217;1;307;307;0;100.00;307;568;307;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_70_ACM_008_Klin0341_CR;CP003217;1;307;307;0;100.00;307;568;307;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_70_ACM_008_Klin0341_CR;CP003217;1;307;307;0;99.67;306;562;304;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_71_ACM_008_Klin0341_CR;JN559613;1;327;327;0;99.69;326;599;324;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_72_ACM_008_Klin0341_CR;JN559683;1;327;327;0;99.69;326;599;324;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_73_ACM_008_Klin0341_CR;KC245370;1;326;326;0;100.00;326;603;326;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_74_ACM_008_Klin0341_CR;AM500828;1;330;330;0;97.88;323;571;309;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_75_ACM_008_Klin0341_CR;JN874125;1;307;315;9;86.03;271;329;178;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_76_ACM_008_Klin0341_CR;JX480503;24;313;290;0;100.00;290;536;290;582;Morganella morganii;Morganella;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_77_ACM_008_Klin0341_CR;JN176356;1;319;319;0;100.00;319;590;319;119602;Streptococcus dysgalactiae;Streptococcus;Streptococcaceae;Firmicutes;undef;Bacteria
OTU_78_ACM_008_Klin0341_CR;JX986973;1;343;343;0;100.00;343;634;343;164393;Lactobacillus fuchuensis;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_79_ACM_008_Klin0341_CR;GU440754;29;328;300;0;100.00;300;555;300;907224;Peptoniphilus methioninivorax;Peptoniphilus;Clostridiales Family XI. Incertae Sedis;Firmicutes;undef;Bacteria
OTU_80_ACM_008_Klin0341_CR;KF494730;1;309;309;0;100.00;309;571;309;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_81_ACM_008_Klin0341_CR;FR745875;1;310;310;0;100.00;310;573;310;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_81_ACM_008_Klin0341_CR;FR745875;1;310;310;0;99.68;309;568;307;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_81_ACM_008_Klin0341_CR;FR745875;1;310;310;0;99.68;309;568;307;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_81_ACM_008_Klin0341_CR;FR745875;1;310;310;0;99.68;309;568;307;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_81_ACM_008_Klin0341_CR;FR745875;1;310;310;0;99.68;309;568;307;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_81_ACM_008_Klin0341_CR;FR745875;1;310;310;0;99.35;308;562;304;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_81_ACM_008_Klin0341_CR;FR745875;1;310;310;0;99.35;308;562;304;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_81_ACM_008_Klin0341_CR;FR745875;1;310;310;0;99.35;308;562;304;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_82_ACM_008_Klin0341_CR;JN559736;1;318;318;0;99.69;317;582;315;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_83_ACM_008_Klin0341_CR;JF690756;1;329;329;0;96.96;319;553;299;2738;Vagococcus fluvialis;Vagococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_84_ACM_008_Klin0341_CR;JN873987;1;345;346;2;87.28;302;394;213;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_85_ACM_008_Klin0341_CR;AY922196;1;312;312;0;100.00;312;577;312;344338;uncultured Firmicutes bacterium;undef;undef;Firmicutes;undef;Bacteria
OTU_87_ACM_008_Klin0341_CR;EU475681;1;300;300;0;99.67;299;549;297;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_88_ACM_008_Klin0341_CR;NR_025003;1;308;308;0;100.00;308;569;308;92442;Arthrobacter psychrolactophilus;Arthrobacter;Micrococcaceae;Actinobacteria;undef;Bacteria
OTU_89_ACM_008_Klin0341_CR;JX559176;1;311;312;1;92.95;290;453;245;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_90_ACM_008_Klin0341_CR;EU458513;1;326;326;0;100.00;326;603;326;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_91_ACM_008_Klin0341_CR;JN559519;1;314;314;0;98.41;309;553;299;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_92_ACM_008_Klin0341_CR;NR_025360;1;328;328;0;100.00;328;606;328;120370;Vagococcus fessus;Vagococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_93_ACM_008_Klin0341_CR;GU389579;1;330;330;0;96.67;319;549;297;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_94_ACM_008_Klin0341_CR;GQ040936;1;317;317;0;100.00;317;586;317;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_95_ACM_008_Klin0341_CR;KC620630;1;313;313;0;98.72;309;556;301;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_96_ACM_008_Klin0341_CR;EU772879;1;326;326;0;100.00;326;603;326;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_97_ACM_008_Klin0341_CR;EU776218;1;312;312;0;100.00;312;577;312;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_98_ACM_008_Klin0341_CR;JN559729;1;317;317;0;100.00;317;586;317;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_99_ACM_008_Klin0341_CR;JN559494;1;319;319;0;99.69;318;584;316;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_100_ACM_008_Klin0341_CR;KC245454;1;311;311;0;99.68;310;569;308;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_101_ACM_008_Klin0341_CR;GQ130016;1;300;300;0;100.00;300;555;300;59620;uncultured Clostridium sp.;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_102_ACM_008_Klin0341_CR;EU776504;1;326;326;0;99.69;325;597;323;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_103_ACM_008_Klin0341_CR;JF690756;1;329;329;0;99.09;326;592;320;2738;Vagococcus fluvialis;Vagococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_104_ACM_008_Klin0341_CR;EU794267;1;318;319;2;94.36;301;488;264;194843;uncultured Bacteroidales bacterium;undef;undef;Bacteroidetes;undef;Bacteria
OTU_105_ACM_008_Klin0341_CR;JQ697092;1;307;307;0;100.00;307;568;307;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_106_ACM_008_Klin0341_CR;EU776019;1;305;305;0;98.69;301;542;293;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_107_ACM_008_Klin0341_CR;AB614864;1;303;305;5;88.20;269;359;194;136703;uncultured rumen bacterium;undef;undef;undef;undef;Bacteria
OTU_108_ACM_008_Klin0341_CR;AB295598;1;319;319;0;100.00;319;590;319;429574;Streptococcus sp. EC-D140;Streptococcus;Streptococcaceae;Firmicutes;undef;Bacteria
OTU_109_ACM_008_Klin0341_CR;DQ113761;1;318;318;0;100.00;318;588;318;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_110_ACM_008_Klin0341_CR;FJ368776;1;327;327;0;99.69;326;599;324;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_111_ACM_008_Klin0341_CR;JQ013485;1;315;315;0;100.00;315;582;315;483031;uncultured Xylella sp.;Xylella;Xanthomonadaceae;Proteobacteria;undef;Bacteria
OTU_112_ACM_008_Klin0341_CR;KC245340;1;326;326;0;99.39;324;592;320;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_113_ACM_008_Klin0341_CR;HQ802625;1;313;313;0;100.00;313;579;313;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_114_ACM_008_Klin0341_CR;FJ671871;1;318;320;4;90.94;291;427;231;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_115_ACM_008_Klin0341_CR;GQ867311;1;318;320;2;91.25;292;435;235;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_116_ACM_008_Klin0341_CR;HQ781382;1;328;328;0;100.00;328;606;328;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_117_ACM_008_Klin0341_CR;HQ716714;1;321;322;2;92.55;298;460;249;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_118_ACM_008_Klin0341_CR;JN559575;1;317;317;0;98.42;312;558;302;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_119_ACM_008_Klin0341_CR;FJ511698;1;327;327;0;100.00;327;604;327;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_120_ACM_008_Klin0341_CR;DQ794633;1;327;328;1;99.70;327;599;324;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
